,child_id,parent_id,child_context,parent_context
181,ПРОСЛАВЛЕННЫЙ,ЗНАМЕНИТЫЙ,"Нельсона все пришедшие смогли увидеть прославленный шедевр советского кинематографа, но не","Нельсона все пришедшие смогли увидеть знаменитый шедевр советского кинематографа, но не"
182,ЛЕГЕНДАРНЫЙ (ШИРОКОИЗВЕСТНЫЙ),ЗНАМЕНИТЫЙ,"Нельсона все пришедшие смогли увидеть легендарный (широкоизвестный) шедевр советского кинематографа, но не","Нельсона все пришедшие смогли увидеть знаменитый шедевр советского кинематографа, но не"
183,ТЕЛЕРАДИОКОМПАНИЯ,КОМПАНИЯ, Небольшая телерадиокомпания DotHill в мае 2002 года, Небольшая компания DotHill в мае 2002 года
184,ИНОСТРАННАЯ КОМПАНИЯ,КОМПАНИЯ, Небольшая иностранная компания DotHill в мае 2002 года, Небольшая компания DotHill в мае 2002 года
185,КОМПАНИЯ-МОНОПОЛИСТ,КОМПАНИЯ, Небольшая компания-монополист DotHill в мае 2002 года, Небольшая компания DotHill в мае 2002 года
186,ТЕЛЕКОММУНИКАЦИОННАЯ КОМПАНИЯ,КОМПАНИЯ, Небольшая телекоммуникационная компания DotHill в мае 2002 года, Небольшая компания DotHill в мае 2002 года
187,АВИАСТРОИТЕЛЬНАЯ КОМПАНИЯ,КОМПАНИЯ, Небольшая авиастроительная компания DotHill в мае 2002 года, Небольшая компания DotHill в мае 2002 года
188,ПИВОВАРЕННАЯ КОМПАНИЯ,КОМПАНИЯ, Небольшая пивоваренная компания DotHill в мае 2002 года, Небольшая компания DotHill в мае 2002 года
189,СТАРТАП-КОМПАНИЯ,КОМПАНИЯ, Небольшая стартап-компания DotHill в мае 2002 года, Небольшая компания DotHill в мае 2002 года
190,ФИКТИВНАЯ ФИРМА,КОМПАНИЯ, Небольшая фиктивная фирма DotHill в мае 2002 года, Небольшая компания DotHill в мае 2002 года
191,АФФИЛИРОВАННАЯ КОМПАНИЯ,КОМПАНИЯ, Небольшая аффилированная компания DotHill в мае 2002 года, Небольшая компания DotHill в мае 2002 года
192,АВТОМОБИЛЬНАЯ КОМПАНИЯ,КОМПАНИЯ, Небольшая автомобильная компания DotHill в мае 2002 года, Небольшая компания DotHill в мае 2002 года
193,ОПЕРАТОР УСЛУГ,КОМПАНИЯ, Небольшая оператор услуг DotHill в мае 2002 года, Небольшая компания DotHill в мае 2002 года
